"cff = 2, order = 3, 2024-03-08 15:16:51.068191"
E,FWHM,Bandwidth,Flux,Intensity,Intensity_dict,Height_dict
101,0,0.0,0.0,0,"{'OE1': 48987.84312244332, 'OE2': 0.0, 'OE3': 0.0, 'OE4': 0.0, 'OE5': 0.0, 'OE6': 0.0, 'OE7': 0.0, 'OE8': 0.0, 'OE9': 0.0}","{'OE1': 9.466378394406991, 'OE2': 0, 'OE3': 0, 'OE4': 0, 'OE5': 0, 'OE6': 0, 'OE7': 0, 'OE8': 0, 'OE9': 0}"
151,0.02582818630685324,0.00027684089645197747,99261822.34166612,170.91028826172084,"{'OE1': 48181.80768217032, 'OE2': 1099.7735104574467, 'OE3': 736.6092347735906, 'OE4': 736.6092347735907, 'OE5': 736.6092347735907, 'OE6': 719.6556857701887, 'OE7': 178.61513926844316, 'OE8': 174.97170101206459, 'OE9': 170.91028826172084}","{'OE1': 9.424126491945707, 'OE2': 0.1136754152576902, 'OE3': 0.11366761964819894, 'OE4': 0.22727864940138787, 'OE5': 0.22727864940138787, 'OE6': 0.17982565020971758, 'OE7': 5.738278422094206, 'OE8': 0.1137448739844078, 'OE9': 0.03650836893527509}"
201,0.03138644628162979,0.00028464509795643364,544850082.66155,1375.9012115422775,"{'OE1': 47170.03162453811, 'OE2': 16765.429856438437, 'OE3': 5611.264700852926, 'OE4': 5611.264700852926, 'OE5': 5611.264700852926, 'OE6': 5374.6530497389895, 'OE7': 1503.5369724471598, 'OE8': 1444.512590341974, 'OE9': 1375.9012115422775}","{'OE1': 9.438720533287274, 'OE2': 2.242600793285362, 'OE3': 2.24259206163412, 'OE4': 4.4833340516079545, 'OE5': 4.4833340516079545, 'OE6': 0.22685020663067368, 'OE7': 6.086529197983451, 'OE8': 1.1538078989985587, 'OE9': 0.05086832442491876}"
251,0.03981436106448655,0.0003197250990015834,970803549.5703844,1975.1383624957757,"{'OE1': 45851.18863756109, 'OE2': 26027.8988296839, 'OE3': 8782.995143327922, 'OE4': 8782.995143327924, 'OE5': 8782.995143327924, 'OE6': 8196.132646416525, 'OE7': 2276.1165037230667, 'OE8': 2131.9871410296446, 'OE9': 1975.1383624957757}","{'OE1': 9.414415613343898, 'OE2': 3.645433780009416, 'OE3': 3.6454527945170696, 'OE4': 7.287240855704368, 'OE5': 7.287240855704368, 'OE6': 0.22099446343719664, 'OE7': 6.224225505519305, 'OE8': 1.9044325278935648, 'OE9': 0.0500076682660508}"
301,0.05086095256973522,0.0003556039104163411,1322278042.024244,1784.0200043180073,"{'OE1': 41138.74078593343, 'OE2': 29816.270575888804, 'OE3': 11066.0428722515, 'OE4': 11066.0428722515, 'OE5': 11066.0428722515, 'OE6': 9371.00288638285, 'OE7': 2524.3620551489907, 'OE8': 2143.754698868237, 'OE9': 1784.0200043180073}","{'OE1': 9.434426037584233, 'OE2': 4.684930516991525, 'OE3': 4.684922946052566, 'OE4': 9.3685548222482, 'OE5': 9.3685548222482, 'OE6': 0.21511966397621807, 'OE7': 6.134594396057231, 'OE8': 2.379388975557082, 'OE9': 0.05421892544915714}"
351,0.06632263621708034,0.0003660773079079789,638318932.4061651,644.4670046461861,"{'OE1': 28892.064543753615, 'OE2': 24700.596087324637, 'OE3': 10218.49776324615, 'OE4': 10218.49776324615, 'OE5': 10218.49776324615, 'OE6': 6268.063461297803, 'OE7': 1784.462556486559, 'OE8': 1103.4997144269596, 'OE9': 644.4670046461861}","{'OE1': 9.447248252679707, 'OE2': 5.611696596363231, 'OE3': 5.611696090356545, 'OE4': 11.220922316312517, 'OE5': 11.220922316312517, 'OE6': 0.22042559038436949, 'OE7': 6.165837360564468, 'OE8': 2.759620899165971, 'OE9': 0.052042574046453044}"
401,0.08282235101688684,0.000439525071894316,1943452102.989068,1307.987905015354,"{'OE1': 34056.39278054726, 'OE2': 32884.5478243336, 'OE3': 14546.270653451924, 'OE4': 14546.270653451924, 'OE5': 14546.270653451924, 'OE6': 10370.982268685322, 'OE7': 2648.6356461076975, 'OE8': 1899.2575489174892, 'OE9': 1307.987905015354}","{'OE1': 9.439403578384269, 'OE2': 6.273425210170771, 'OE3': 6.273410820517798, 'OE4': 12.544426560643235, 'OE5': 12.544426560643235, 'OE6': 0.21963008299690512, 'OE7': 5.9932754079613675, 'OE8': 3.0612868549565677, 'OE9': 0.05491117646210408}"
451,0.10127828946053796,0.0004154373583651048,3386123861.746488,2015.2026571775389,"{'OE1': 36220.67552536168, 'OE2': 36220.67552536168, 'OE3': 16901.039273803202, 'OE4': 16901.039273803202, 'OE5': 16901.039273803202, 'OE6': 12737.966438687161, 'OE7': 3632.280509182505, 'OE8': 2751.4938286701563, 'OE9': 2015.2026571775389}","{'OE1': 9.470509961561444, 'OE2': 6.539811806663452, 'OE3': 6.539776264306813, 'OE4': 13.076605297056526, 'OE5': 13.076605297056526, 'OE6': 0.22059667673214967, 'OE7': 6.0956899230335875, 'OE8': 3.2339909523388193, 'OE9': 0.0482562604098104}"
501,0.11200331907400596,0.0004717437832368887,4234520253.902708,1934.3977741782824,"{'OE1': 36288.708354382376, 'OE2': 36288.708354382376, 'OE3': 17290.916376520097, 'OE4': 17290.916376520097, 'OE5': 17290.916376520097, 'OE6': 13063.25565277725, 'OE7': 3476.36726474062, 'OE8': 2637.6086597111275, 'OE9': 1934.3977741782824}","{'OE1': 9.404783535822876, 'OE2': 6.547296042194974, 'OE3': 6.547299856063244, 'OE4': 13.088288998226997, 'OE5': 13.088288998227041, 'OE6': 0.2239547684914442, 'OE7': 6.076618494200053, 'OE8': 3.2426515748209157, 'OE9': 0.05165490772501277}"
551,0.13894280758506738,0.0005062248699116898,5692619162.928301,2175.7851865499115,"{'OE1': 37491.85666777191, 'OE2': 37491.85666777191, 'OE3': 18258.612673360178, 'OE4': 18258.612673360178, 'OE5': 18258.612673360178, 'OE6': 14207.8284875877, 'OE7': 3673.663096396281, 'OE8': 2870.4582906409987, 'OE9': 2175.7851865499115}","{'OE1': 9.40396853755224, 'OE2': 6.539423371391235, 'OE3': 6.539475162716121, 'OE4': 13.072681175769564, 'OE5': 13.072681175769564, 'OE6': 0.2321876283208979, 'OE7': 5.9267346906325145, 'OE8': 3.227940654735484, 'OE9': 0.052193572188498766}"
601,0.1480918655786354,0.0005219683652067397,6958903102.60992,2357.352453151213,"{'OE1': 38047.99720360148, 'OE2': 38047.99720360148, 'OE3': 18809.463031117066, 'OE4': 18809.46303111707, 'OE5': 18809.46303111707, 'OE6': 14829.498202721179, 'OE7': 3872.1214357462377, 'OE8': 3064.6020145003904, 'OE9': 2357.352453151213}","{'OE1': 9.401106376886045, 'OE2': 6.5283555046553925, 'OE3': 6.528335560740395, 'OE4': 13.05206813786038, 'OE5': 13.052068137860424, 'OE6': 0.2206483197948007, 'OE7': 6.102302907770831, 'OE8': 3.164755390143391, 'OE9': 0.0497013288329539}"
651,0.17371434526239682,0.0005547681838751823,8510319625.278314,2504.038783899237,"{'OE1': 38380.964629046175, 'OE2': 38380.964629046175, 'OE3': 19535.442965832335, 'OE4': 19535.442965832335, 'OE5': 19535.442965832335, 'OE6': 15534.664670843089, 'OE7': 4044.281760218095, 'OE8': 3226.897555274923, 'OE9': 2504.038783899237}","{'OE1': 9.481116113127513, 'OE2': 6.413809471862514, 'OE3': 6.413808543561132, 'OE4': 13.088949502995554, 'OE5': 13.088949502995554, 'OE6': 0.2227267610384021, 'OE7': 6.181280578453516, 'OE8': 3.2283126837755973, 'OE9': 0.05131160597253409}"
701,0.20127066838540486,0.0005883624888395567,10020132847.237612,2561.9122549001086,"{'OE1': 38877.76317694677, 'OE2': 38877.76317694677, 'OE3': 20114.770924946246, 'OE4': 20114.770924946246, 'OE5': 20114.770924946246, 'OE6': 16164.935156720734, 'OE7': 4044.9700964577623, 'OE8': 3261.4104864923165, 'OE9': 2561.9122549001086}","{'OE1': 9.383543219651687, 'OE2': 6.541633025220415, 'OE3': 6.541653380522522, 'OE4': 13.078449731026794, 'OE5': 13.078449731026794, 'OE6': 0.22705030590544872, 'OE7': 6.110507325372245, 'OE8': 3.165549116262212, 'OE9': 0.055734690375948276}"
751,0.22058674742947915,0.0006000055316220238,11374990080.353432,2685.121146754478,"{'OE1': 39195.518800128666, 'OE2': 39195.518800128666, 'OE3': 20208.604494149564, 'OE4': 20208.604494149564, 'OE5': 20208.604494149564, 'OE6': 16373.009992986039, 'OE7': 4169.969199928198, 'OE8': 3389.425592610569, 'OE9': 2685.121146754478}","{'OE1': 9.43115652623908, 'OE2': 6.534147008649702, 'OE3': 6.5341542827816, 'OE4': 13.062247021977841, 'OE5': 13.062247021977841, 'OE6': 0.2212887879300164, 'OE7': 6.138164921463835, 'OE8': 3.1608391882324627, 'OE9': 0.05247116944267126}"
801,0.24345039612228447,0.0006076735625493766,13104984909.32437,2898.6026413806203,"{'OE1': 39433.45895123142, 'OE2': 39433.45895123142, 'OE3': 20796.465821275408, 'OE4': 20796.465821275408, 'OE5': 20796.465821275408, 'OE6': 16962.590371110993, 'OE7': 4441.647532006225, 'OE8': 3633.232733940469, 'OE9': 2898.6026413806203}","{'OE1': 9.474965688255269, 'OE2': 6.423763405269703, 'OE3': 6.423737769120137, 'OE4': 12.840624664531006, 'OE5': 12.840624664531006, 'OE6': 0.2273665126684119, 'OE7': 6.053919842488886, 'OE8': 3.173353388974427, 'OE9': 0.05124022617852658}"
851,0.2715144427531868,0.000626450865254139,14495951387.83143,2951.483034335989,"{'OE1': 39670.68046187013, 'OE2': 39670.68046187013, 'OE3': 21175.869487634067, 'OE4': 21175.869487634067, 'OE5': 21175.869487634067, 'OE6': 17345.29069197944, 'OE7': 4479.596312056076, 'OE8': 3679.814467077724, 'OE9': 2951.483034335989}","{'OE1': 9.386267024405386, 'OE2': 6.541257882009916, 'OE3': 6.5412669648063195, 'OE4': 13.076633999026896, 'OE5': 13.076633999026896, 'OE6': 0.22423806715183747, 'OE7': 6.144866151826365, 'OE8': 3.1622382194433927, 'OE9': 0.05281457242947862}"
901,0.2772530338654633,0.0006204537081881026,16107410178.414793,3130.756109514523,"{'OE1': 39832.904700747175, 'OE2': 39832.90470074718, 'OE3': 21447.930866559454, 'OE4': 21436.622421453318, 'OE5': 21436.622421453318, 'OE6': 17633.43857247731, 'OE7': 4713.253801321732, 'OE8': 3887.5540522598612, 'OE9': 3130.756109514523}","{'OE1': 9.425211526252397, 'OE2': 6.413563603880348, 'OE3': 6.413600269679854, 'OE4': 12.993595704163909, 'OE5': 12.993595704163909, 'OE6': 0.22062013154223292, 'OE7': 6.077386639880562, 'OE8': 3.1533945184658982, 'OE9': 0.04842924836447271}"
951,0.3124052531511552,0.0006660974246227523,16052645973.494314,2751.365669979118,"{'OE1': 39309.13459003138, 'OE2': 39309.13459003138, 'OE3': 20717.04342809498, 'OE4': 20394.51674505547, 'OE5': 20394.51674505547, 'OE6': 16577.412041191412, 'OE7': 4248.373920781004, 'OE8': 3463.465107761266, 'OE9': 2751.365669979118}","{'OE1': 9.42404115119706, 'OE2': 6.280106134626552, 'OE3': 6.280082441157205, 'OE4': 12.653110322342746, 'OE5': 12.653110322342746, 'OE6': 0.21993207965011918, 'OE7': 5.950916872601271, 'OE8': 3.1868040648305467, 'OE9': 0.050355911068746095}"
1001,0.32486939555212757,0.0006527377901078468,16109872215.746122,2662.511645709384,"{'OE1': 38825.09270328283, 'OE2': 38825.09270328283, 'OE3': 20027.312060178683, 'OE4': 19233.635667981536, 'OE5': 19233.635667981536, 'OE6': 15463.278711972573, 'OE7': 4211.34383940113, 'OE8': 3394.584714875965, 'OE9': 2662.511645709384}","{'OE1': 9.417455856664988, 'OE2': 6.530729837168747, 'OE3': 6.530746597330024, 'OE4': 12.334593376023715, 'OE5': 12.334593376023715, 'OE6': 0.2254811120538407, 'OE7': 6.093624939156209, 'OE8': 3.048281171345255, 'OE9': 0.05385313145332726}"
1051,0.3628679535563606,0.0006930025330943945,17349783523.69956,2538.2229763199093,"{'OE1': 38934.062977006215, 'OE2': 38934.062977006215, 'OE3': 20154.344536557976, 'OE4': 18945.514506842566, 'OE5': 18945.514506842566, 'OE6': 15265.387350458988, 'OE7': 3991.3841337975277, 'OE8': 3225.2443142818192, 'OE9': 2538.2229763199093}","{'OE1': 9.443805320827561, 'OE2': 6.406169761754654, 'OE3': 6.406186447482057, 'OE4': 12.036067318893313, 'OE5': 12.036067318893313, 'OE6': 0.20731977116536116, 'OE7': 5.737545293947485, 'OE8': 2.970515196779041, 'OE9': 0.054379390285611146}"
1101,0.39187302565756,0.0007116098440329848,18880243785.6808,2503.2452657060885,"{'OE1': 39029.87773838113, 'OE2': 39029.87773838113, 'OE3': 20269.52115101142, 'OE4': 18629.634515430516, 'OE5': 18629.634515430516, 'OE6': 15054.561178832246, 'OE7': 3914.133883970395, 'OE8': 3171.114467710259, 'OE9': 2503.2452657060885}","{'OE1': 9.462512051879688, 'OE2': 6.413657188621606, 'OE3': 6.4136109690877205, 'OE4': 11.760593839793202, 'OE5': 11.760593839793202, 'OE6': 0.24113365597568492, 'OE7': 6.033029150863708, 'OE8': 2.968088709248925, 'OE9': 0.05010544744585954}"
1151,0.4057204505231766,0.0007105223444139895,20433395841.537586,2539.0057821755363,"{'OE1': 39143.99629478014, 'OE2': 39143.99629478014, 'OE3': 20387.537368858695, 'OE4': 18365.773953727316, 'OE5': 18365.773953727316, 'OE6': 14877.969092786785, 'OE7': 3957.411091743389, 'OE8': 3213.6225647377305, 'OE9': 2539.0057821755363}","{'OE1': 9.414024564619773, 'OE2': 6.411152872458459, 'OE3': 6.411190302306245, 'OE4': 11.500607236712955, 'OE5': 11.500607236712955, 'OE6': 0.22820746384074253, 'OE7': 6.12052984197312, 'OE8': 2.8209385007571286, 'OE9': 0.05038180666482456}"
1201,0.41996820583881345,0.0006944553744145194,21795268301.272545,2603.2403084747552,"{'OE1': 39173.45384108736, 'OE2': 39173.45384108736, 'OE3': 20453.695814343977, 'OE4': 18114.099513623372, 'OE5': 18114.099513623372, 'OE6': 14697.237189767655, 'OE7': 4044.0731114794044, 'OE8': 3288.6575888890825, 'OE9': 2603.2403084747552}","{'OE1': 9.484410059725757, 'OE2': 6.398277697107375, 'OE3': 6.398232988251813, 'OE4': 11.260126463462129, 'OE5': 11.260126463462129, 'OE6': 0.22672739194787128, 'OE7': 6.065090373696387, 'OE8': 2.783296401736362, 'OE9': 0.04639978568399544}"
1251,0.46959905156654713,0.0007460011745462921,23280232682.447117,2457.093458926339,"{'OE1': 39245.86381657984, 'OE2': 39245.86381657984, 'OE3': 20430.12287951871, 'OE4': 17754.29395108609, 'OE5': 17754.29395108609, 'OE6': 14420.893034924356, 'OE7': 3805.7666154780345, 'OE8': 3099.3020596806673, 'OE9': 2457.093458926339}","{'OE1': 9.392869436289075, 'OE2': 6.283455132444142, 'OE3': 6.28343696270886, 'OE4': 11.0317176818224, 'OE5': 11.0317176818224, 'OE6': 0.20259133418966768, 'OE7': 6.028192933781321, 'OE8': 2.721728667755185, 'OE9': 0.053200169272948}"
1301,0.4897563699635157,0.0007252207162098667,24746131493.35626,2573.1775585722276,"{'OE1': 39293.44813906138, 'OE2': 39293.44813906138, 'OE3': 20304.666634389607, 'OE4': 17347.654089409334, 'OE5': 17347.654089409334, 'OE6': 14117.671520058868, 'OE7': 3976.2359298037404, 'OE8': 3242.7405946984845, 'OE9': 2573.1775585722276}","{'OE1': 9.37720393464732, 'OE2': 6.277965142274802, 'OE3': 6.277939078952027, 'OE4': 10.819229523780674, 'OE5': 10.819229523780674, 'OE6': 0.232727132560138, 'OE7': 6.11457412326909, 'OE8': 2.6668975680291758, 'OE9': 0.05153629299536641}"
1351,0.5408372019389844,0.0007776260505689625,25863297134.35952,2396.422849088567,"{'OE1': 39260.1772603652, 'OE2': 39260.1772603652, 'OE3': 20116.525232453907, 'OE4': 16922.146083862976, 'OE5': 16922.146083862976, 'OE6': 13779.50988361449, 'OE7': 3694.0885876753355, 'OE8': 3014.8403242233253, 'OE9': 2396.422849088567}","{'OE1': 9.390477302331288, 'OE2': 6.280351487183692, 'OE3': 6.2803939527147445, 'OE4': 10.617326516203946, 'OE5': 10.617326516203946, 'OE6': 0.21658269410254372, 'OE7': 6.093890586586667, 'OE8': 2.625685663418053, 'OE9': 0.0507809947552066}"
1401,0.5362701785384161,0.0007956082847316291,26552912523.287445,2321.349190029136,"{'OE1': 39287.5612657059, 'OE2': 39287.5612657059, 'OE3': 19936.700256749627, 'OE4': 16509.200153847116, 'OE5': 16509.200153847116, 'OE6': 13454.31749956871, 'OE7': 3576.3594597047563, 'OE8': 2920.229276528219, 'OE9': 2321.349190029136}","{'OE1': 9.483810458485438, 'OE2': 6.274440085885263, 'OE3': 6.274468224837914, 'OE4': 10.42681859644765, 'OE5': 10.42681859644765, 'OE6': 0.2087293488604372, 'OE7': 6.063646734483737, 'OE8': 2.615567823253393, 'OE9': 0.048938212924682645}"
1451,0.5809643184111337,0.0008036188293883855,26122681533.021027,2236.1690767509554,"{'OE1': 39308.44801615265, 'OE2': 39308.44801615265, 'OE3': 19728.495249368374, 'OE4': 16106.584013352189, 'OE5': 16106.584013352189, 'OE6': 13128.727600939652, 'OE7': 3444.317094118695, 'OE8': 2813.681801130215, 'OE9': 2236.1690767509554}","{'OE1': 9.429612999533607, 'OE2': 6.275463639480096, 'OE3': 6.275524336811814, 'OE4': 10.246978000604841, 'OE5': 10.246978000604841, 'OE6': 0.22065498811736917, 'OE7': 5.690817524736737, 'OE8': 2.5083901594210496, 'OE9': 0.05416409029513475}"
1501,0.5974337270381511,0.0007894214783799454,26021064067.545223,2260.480475604363,"{'OE1': 39307.035077344844, 'OE2': 39307.035077344844, 'OE3': 19482.941542448276, 'OE4': 15691.302131966273, 'OE5': 15691.302131966273, 'OE6': 12792.10021481663, 'OE7': 3482.1272544735, 'OE8': 2845.7070589591826, 'OE9': 2260.480475604363}","{'OE1': 9.399505839487238, 'OE2': 6.276055062034024, 'OE3': 6.276106551648414, 'OE4': 10.073607113871242, 'OE5': 10.073607113871242, 'OE6': 0.22137637396127485, 'OE7': 6.065281218546232, 'OE8': 2.5182112482219643, 'OE9': 0.05439269854129049}"
1551,0.6384513376683572,0.0007979709282340108,26007218929.839073,2227.364452388421,"{'OE1': 39346.42551158281, 'OE2': 39346.42551158281, 'OE3': 19082.064104557026, 'OE4': 15187.541779438588, 'OE5': 15187.541779438588, 'OE6': 12394.294764013524, 'OE7': 3423.545487450893, 'OE8': 2800.298341237265, 'OE9': 2227.364452388421}","{'OE1': 9.398985211589364, 'OE2': 6.2733767473402935, 'OE3': 6.273401945533675, 'OE4': 9.910626782262215, 'OE5': 9.910626782262215, 'OE6': 0.22981375272586563, 'OE7': 6.040035820551884, 'OE8': 2.4833685928547338, 'OE9': 0.05555500488119369}"
1601,0.648857028686507,0.0007962839246930508,24367422866.40077,2186.5582909891004,"{'OE1': 39331.585586141926, 'OE2': 39331.585586141926, 'OE3': 18584.954136937737, 'OE4': 14585.030771530128, 'OE5': 14585.030771530128, 'OE6': 11912.303997757941, 'OE7': 3364.5643301211067, 'OE8': 2752.7889188509944, 'OE9': 2186.5582909891004}","{'OE1': 9.461612610638708, 'OE2': 6.276946117407986, 'OE3': 6.276887325562686, 'OE4': 9.75254859505351, 'OE5': 9.75254859505351, 'OE6': 0.21387452039555854, 'OE7': 5.993876196764685, 'OE8': 2.4463922041194186, 'OE9': 0.05587716683048116}"
1651,0.6887723302006634,0.0008350416412082678,22118269900.974606,2009.4391934343928,"{'OE1': 39320.081713661355, 'OE2': 39320.081713661355, 'OE3': 18027.173101410204, 'OE4': 13990.216170255066, 'OE5': 13990.216170255066, 'OE6': 11421.75270564607, 'OE7': 3089.8770595963915, 'OE8': 2528.4519476440532, 'OE9': 2009.4391934343928}","{'OE1': 9.439325796416224, 'OE2': 6.273729604475648, 'OE3': 6.273741684260377, 'OE4': 9.605981896151341, 'OE5': 9.605981896151341, 'OE6': 0.21812302172664333, 'OE7': 6.006991300266867, 'OE8': 2.3592983315743288, 'OE9': 0.05069827745309251}"
1701,0.7527357559440588,0.0008745703690718808,19750397844.470192,1848.813160342516,"{'OE1': 39312.38445176534, 'OE2': 39312.38445176535, 'OE3': 17400.92374470539, 'OE4': 13362.52658980188, 'OE5': 13362.52658980188, 'OE6': 10912.583370262133, 'OE7': 2843.7857853365226, 'OE8': 2327.1813685298084, 'OE9': 1848.813160342516}","{'OE1': 9.473083420292594, 'OE2': 6.274390563841859, 'OE3': 6.274380651015831, 'OE4': 9.46357908572725, 'OE5': 9.46357908572725, 'OE6': 0.2165683404260889, 'OE7': 6.195447882065432, 'OE8': 2.328305092875183, 'OE9': 0.04249907386142822}"
1751,0.7968062832665055,0.0008404510621515653,17608341293.000114,1887.0095297158086,"{'OE1': 39275.55921139498, 'OE2': 39275.55921139498, 'OE3': 16625.701995151223, 'OE4': 12643.90407037981, 'OE5': 12643.90407037981, 'OE6': 10326.7756247286, 'OE7': 2903.8579735034396, 'OE8': 2376.1661613324413, 'OE9': 1887.0095297158086}","{'OE1': 9.401312663739443, 'OE2': 6.264302835206574, 'OE3': 6.264250440177101, 'OE4': 9.327087859409632, 'OE5': 9.327087859409632, 'OE6': 0.21857324408042378, 'OE7': 6.128052558879807, 'OE8': 2.29740243586028, 'OE9': 0.05316699799417268}"
1801,0.8436200172784538,0.0008986555699839488,14530725244.652552,1641.792819612725,"{'OE1': 39236.869456612214, 'OE2': 39236.869456612214, 'OE3': 15435.104903099074, 'OE4': 11615.53543800264, 'OE5': 11615.53543800264, 'OE6': 9483.404967854005, 'OE7': 2529.6275048999464, 'OE8': 2069.5284122070143, 'OE9': 1641.792819612725}","{'OE1': 9.369887486923503, 'OE2': 6.275817639791902, 'OE3': 6.275828061785097, 'OE4': 9.196395274834899, 'OE5': 9.196395274834899, 'OE6': 0.21408650418369368, 'OE7': 6.070301230403135, 'OE8': 2.2561509295245363, 'OE9': 0.05330913249371322}"
1851,0.8188404619627363,0.0008636820073235017,11629661880.433414,1545.3387043827797,"{'OE1': 39143.597997878525, 'OE2': 39143.597997878525, 'OE3': 14092.425536801678, 'OE4': 10522.59544539321, 'OE5': 10522.59544539321, 'OE6': 8582.619780499339, 'OE7': 2387.6583602820747, 'OE8': 1951.8812259793874, 'OE9': 1545.3387043827797}","{'OE1': 9.448093541766177, 'OE2': 6.263301657189187, 'OE3': 6.2633524727804195, 'OE4': 9.072386343778653, 'OE5': 9.072386343778653, 'OE6': 0.223469634601966, 'OE7': 6.144090626917173, 'OE8': 2.2324422498093233, 'OE9': 0.052068038340533}"
1901,0.8637432531872946,0.0008966641035524197,9096922641.62764,1348.3251741778465,"{'OE1': 39103.14890460185, 'OE2': 39103.14890460185, 'OE3': 12660.429830770425, 'OE4': 9347.164754378946, 'OE5': 9347.164754378946, 'OE6': 7621.347524800114, 'OE7': 2090.3126432252634, 'OE8': 1707.1672402343138, 'OE9': 1348.3251741778465}","{'OE1': 9.46947553004758, 'OE2': 6.278728170766794, 'OE3': 6.278655610490304, 'OE4': 8.95344122475563, 'OE5': 8.95344122475563, 'OE6': 0.2162879090436935, 'OE7': 6.195108087642234, 'OE8': 2.2086936268069794, 'OE9': 0.0542237752253687}"
1951,0.8340383808501883,0.0008751165894613444,6440335995.814044,1139.4260397138828,"{'OE1': 39024.236440322245, 'OE2': 39024.236440322245, 'OE3': 10658.103781360467, 'OE4': 7806.076691571951, 'OE5': 7806.076691571951, 'OE6': 6355.238384381041, 'OE7': 1771.6133520599933, 'OE8': 1445.2718083282507, 'OE9': 1139.4260397138828}","{'OE1': 9.405695633909952, 'OE2': 6.278380565267522, 'OE3': 6.278411625617247, 'OE4': 8.837184027339413, 'OE5': 8.837184027339413, 'OE6': 0.22661588936910282, 'OE7': 6.0308987841203585, 'OE8': 2.2207844725439667, 'OE9': 0.05368959640680737}"
2001,0.9283327220809952,0.0009524453943013868,4292293350.0406804,840.4680340664929,"{'OE1': 38935.839173460554, 'OE2': 38935.839173460554, 'OE3': 8500.479998571078, 'OE4': 6163.199387944198, 'OE5': 6163.199387944198, 'OE6': 5011.06880429198, 'OE7': 1311.1012284284539, 'OE8': 1068.2261336497943, 'OE9': 840.4680340664929}","{'OE1': 9.416644582240027, 'OE2': 6.2762816929630025, 'OE3': 6.276358198672997, 'OE4': 8.72641224198481, 'OE5': 8.72641224198481, 'OE6': 0.2187211941895002, 'OE7': 6.133647843817782, 'OE8': 2.1052533622437664, 'OE9': 0.050943872195656825}"
2051,0.9566389668907505,0.0009382902248068653,2485364069.265906,604.548987876884,"{'OE1': 38824.33603623688, 'OE2': 38824.33603623688, 'OE3': 6010.481047664642, 'OE4': 4315.153098782864, 'OE5': 4315.153098782864, 'OE6': 3505.403178468284, 'OE7': 946.9667848156747, 'OE8': 770.7285138735641, 'OE9': 604.548987876884}","{'OE1': 9.424411608725803, 'OE2': 6.267105760414067, 'OE3': 6.267016352547305, 'OE4': 8.618935401075026, 'OE5': 8.618935401075026, 'OE6': 0.23317237477540692, 'OE7': 5.694459045172993, 'OE8': 2.1606624370793335, 'OE9': 0.05021672720024126}"
