"cff = 1.4, order = 1, 2024-03-07 11:31:55.180586"
E,FWHM,Bandwidth,Flux,Intensity
101,0.027779345146853984,0.0004972273721718785,30658050642.218987,3480.771946588417,"{'OE1': 48986.860744605336, 'OE2': 16471.20080403393, 'OE3': 15345.516965392084, 'OE4': 15345.516965392084, 'OE5': 15345.516965392084, 'OE6': 14746.156880017677, 'OE7': 3545.1735207249967, 'OE8': 3523.239581688066, 'OE9': 3480.771946588417}"
151,0.04387118462972239,0.0005585353294900535,100310899856.27632,6052.824628422452,"{'OE1': 48181.80896309539, 'OE2': 34370.29992444356, 'OE3': 25259.533361739417, 'OE4': 25259.533361739417, 'OE5': 25259.533361739417, 'OE6': 23969.471464699505, 'OE7': 6341.980128203388, 'OE8': 6213.5866021587535, 'OE9': 6052.824628422452}"
201,0.0697172412172904,0.0006591524261199508,69844336342.69284,4199.351656530417,"{'OE1': 47170.035747769936, 'OE2': 44816.531961645844, 'OE3': 19176.926710776053, 'OE4': 19176.926710776053, 'OE5': 19176.926710776053, 'OE6': 17842.86127551461, 'OE7': 4589.2480035944545, 'OE8': 4409.364666433188, 'OE9': 4199.351656530417}"
251,0.09327402761059034,0.0007290675942069259,82192829691.60786,4059.8393668013,"{'OE1': 45861.413596405226, 'OE2': 45861.413596405226, 'OE3': 19630.180011557633, 'OE4': 19630.180011557633, 'OE5': 19630.180011557633, 'OE6': 17866.890037453697, 'OE7': 4677.617524118799, 'OE8': 4381.464900514459, 'OE9': 4059.8393668013}"
301,0.12357677110389886,0.0007919255117055016,79289588200.80573,2902.4023266697714,"{'OE1': 41141.8938066715, 'OE2': 41141.893806671505, 'OE3': 18910.16258324741, 'OE4': 18910.16258324741, 'OE5': 18910.16258324741, 'OE6': 15759.422485778441, 'OE7': 4106.65182718295, 'OE8': 3487.5868129263754, 'OE9': 2902.4023266697714}"
351,0.16350910797740426,0.0008741332428054838,30096551983.381176,838.2558925742104,"{'OE1': 28892.064269925857, 'OE2': 28892.064269925857, 'OE3': 14471.306329703935, 'OE4': 14471.306329703935, 'OE5': 14471.306329703935, 'OE6': 9025.267291332682, 'OE7': 2317.397814354871, 'OE8': 1433.064089761402, 'OE9': 838.2558925742104}"
401,0.1962490983927978,0.0009781544497329442,72058480657.05573,1564.6250651575438,"{'OE1': 34056.38023916868, 'OE2': 34056.38023916868, 'OE3': 18013.888184310264, 'OE4': 18013.888184310264, 'OE5': 18013.888184310264, 'OE6': 12868.667566414699, 'OE7': 3167.580233323143, 'OE8': 2271.5598154363943, 'OE9': 1564.6250651575438}"
451,0.22859771307503252,0.0010171257383427713,110110721630.98978,2083.2599289323593,"{'OE1': 36220.65778495226, 'OE2': 36220.65778495226, 'OE3': 20026.29926641107, 'OE4': 20026.29926641107, 'OE5': 20026.29926641107, 'OE6': 15033.818824966485, 'OE7': 3757.6180581963245, 'OE8': 2846.7099542824308, 'OE9': 2083.2599289323593}"
501,0.2683921283048676,0.001130425130979407,128245817655.06346,2045.5111947878345,"{'OE1': 36287.14105644452, 'OE2': 36287.14105644452, 'OE3': 20444.41310571642, 'OE4': 20444.41310571642, 'OE5': 20444.41310571642, 'OE6': 15384.391640586302, 'OE7': 3674.77504844998, 'OE8': 2788.421685176688, 'OE9': 2045.5111947878345}"
551,0.2907566489798228,0.001176316470741726,159538584656.50275,2346.476859402319,"{'OE1': 37500.17892581304, 'OE2': 37500.17892581304, 'OE3': 21509.817855056033, 'OE4': 21509.817855056033, 'OE5': 21509.817855056033, 'OE6': 16606.845361935368, 'OE7': 3962.1709887204024, 'OE8': 3096.158809526824, 'OE9': 2346.476859402319}"
601,0.3548712987565068,0.0012316591717864017,182595050404.54623,2500.1639316939645,"{'OE1': 38046.454899560566, 'OE2': 38046.454899560566, 'OE3': 22122.734143089696, 'OE4': 22122.7341430897, 'OE5': 22122.7341430897, 'OE6': 17300.332662964236, 'OE7': 4109.725837808265, 'OE8': 3252.922600885395, 'OE9': 2500.1639316939645}"
651,0.38608085075975396,0.0012365011734706344,207361023779.73447,2786.4851714689667,"{'OE1': 38380.94934985157, 'OE2': 38380.94934985157, 'OE3': 22879.56662874513, 'OE4': 22879.566628745135, 'OE5': 22879.566628745135, 'OE6': 18019.548630904428, 'OE7': 4499.187175486483, 'OE8': 3590.1449828343075, 'OE9': 2786.4851714689667}"
701,0.47053817272353626,0.0012995668519922509,227541073555.29364,2874.3993968877844,"{'OE1': 38873.01133728796, 'OE2': 38873.01133728796, 'OE3': 23531.879599433843, 'OE4': 23531.879599433843, 'OE5': 23531.879599433843, 'OE6': 18721.2415660994, 'OE7': 4542.14969895889, 'OE8': 3662.5637643178834, 'OE9': 2874.3993968877844}"
751,0.49722651827073605,0.0013506965530678582,242962697157.1923,2972.7671943410787,"{'OE1': 39197.10623490129, 'OE2': 39197.10623490129, 'OE3': 23711.27499033574, 'OE4': 23711.27499033574, 'OE5': 23711.27499033574, 'OE6': 19012.75536190691, 'OE7': 4618.205394228991, 'OE8': 3754.0343955802446, 'OE9': 2972.7671943410787}"
801,0.5719475620861658,0.0013814480521372804,259380003497.17496,3159.7464748168704,"{'OE1': 39432.65102586916, 'OE2': 39432.65102586916, 'OE3': 24334.165924686076, 'OE4': 24334.165924686076, 'OE5': 24334.165924686076, 'OE6': 19624.844159876935, 'OE7': 4844.947084379116, 'OE8': 3963.413800604988, 'OE9': 3159.7464748168704}"
851,0.6391977410123673,0.0014136270496853149,266263034422.8148,3253.36486175728,"{'OE1': 39670.66965830574, 'OE2': 39670.66965830574, 'OE3': 24785.38932886926, 'OE4': 24785.38932886926, 'OE5': 24785.38932886926, 'OE6': 20096.30291820689, 'OE7': 4939.259042728027, 'OE8': 4057.7019695433914, 'OE9': 3253.36486175728}"
901,0.6481666815664084,0.0014498836595045984,272073238641.8325,3350.082182666996,"{'OE1': 39829.44297958229, 'OE2': 39829.44297958229, 'OE3': 25129.251155829315, 'OE4': 25129.251155829315, 'OE5': 25129.251155829315, 'OE6': 20437.09888723943, 'OE7': 5042.7893890480045, 'OE8': 4159.645558586907, 'OE9': 3350.082182666996}"
951,0.7331350718266094,0.00161334938287154,248755527488.6789,2885.858688426893,"{'OE1': 39311.56102387064, 'OE2': 39311.56102387064, 'OE3': 24463.280514381062, 'OE4': 24414.159663138096, 'OE5': 24414.159663138096, 'OE6': 19613.761974666413, 'OE7': 4454.950512218516, 'OE8': 3632.1192630183405, 'OE9': 2885.858688426893}"
1001,0.7340305452653411,0.0014843876547211102,226089178333.17975,3030.42018763018,"{'OE1': 38821.64053569891, 'OE2': 38821.640535698905, 'OE3': 23832.611754054375, 'OE4': 23342.31553847348, 'OE5': 23342.31553847348, 'OE6': 18585.4149860475, 'OE7': 4793.2297230240665, 'OE8': 3863.8714637277126, 'OE9': 3030.42018763018}"
